Date,Tweet Id,Text,Username,Location,#Retweets,#Replies,#Likes,#QuoteTweets
2020-11-20 08:27:42+00:00,1329702947991683073,#IStandWithMyPresident @realDonaldTrump 🇺🇸💝#HoldTheLinePatriots #StopTheSteal #VoterSuppression #vote #voterfraud #KeywordLegal #Trumprwon #hammerandscorecard #everylegalvotecount #watermarkedballot #SydneyPowell #Stand4SomethingRFall4Anything #BidenCheated #DemocratsAreCorrupt https://t.co/ZNzjtVl1Qi,HarryDalila,https://twitter.com/HarryDalila/status/1329702947991683073,0,0,0,0
2020-11-20 07:21:26+00:00,1329686272189804546,@17anonjohn @DarrenPlymouth très inquiétant comme la collusion des médias mainstream avec les progressistes manifeste pour lesquels les sujets suivant ne sont pas traités: 1 la fraude massive #dominion #hammerandscorecard 2 l’ampleur de la vague conservatrice et 3 les raisons du vote #trump,greg92210,https://twitter.com/greg92210/status/1329686272189804546,0,0,0,0
2020-11-20 03:18:10+00:00,1329625054662062082,"@michellemalkin #HammerAndScorecard finished the election steal. 
#Expose it all at the highest level. Why would Sidney Powell give any bait to the #Fake media?",krezmien,https://twitter.com/krezmien/status/1329625054662062082,0,0,4,0
2020-11-20 00:02:47+00:00,1329575882625744897,"Dominion Voting
&lt;= The DELIAN Project
&lt;= Clinton Foundation

#StopTheFraud
#StopTheSteal
#StopTheCensorship
#NoCensorship
#FreeSpeech
#DrainTheSwamp 
#RiggedElection
#expose2020
#ElectionFraud
#VoterFraud
#FightBack
#HoldTheLine
#HAMMERandSCORECARD

https://t.co/nTXtMxjhhH https://t.co/jWHtXoU9GK",MWsattkch,https://twitter.com/MWsattkch/status/1329575882625744897,0,1,0,0
2020-11-19 23:00:22+00:00,1329560175242604551,#HammerAndScorecard,JustttttBlazee,https://twitter.com/JustttttBlazee/status/1329560175242604551,0,0,0,0
2020-11-19 21:54:53+00:00,1329543697113829377,"I just picked up a strain from the dispensary called 
“9lb Hammer OG” KEk!!! 🐸#HammerAndScorecard",BYounger13,https://twitter.com/BYounger13/status/1329543697113829377,0,0,2,0
2020-11-19 15:30:04+00:00,1329446854510202881,Listen.   And. Please. Retweet this. #SCORECARD  #HammerAndScorecard  #TrumpWon  #BidenCheated   https://t.co/yHKSEYBfeL,JustAGirlXjs,https://twitter.com/JustAGirlXjs/status/1329446854510202881,0,0,0,0
2020-11-19 14:47:29+00:00,1329436137090330627,@CodeMonkeyZ @DanScavino #CrookedJoeBiden #DominionVotingSystems #hammerandscorecard,YeahMonYeah,https://twitter.com/YeahMonYeah/status/1329436137090330627,0,0,0,0
2020-11-19 12:49:23+00:00,1329406414507401218,"#HammerAndScorecard
Now it is starting 2 make sense. Time mag had Killary as front cover Madame Prez...and she just can’t believe she didn’t win... and the plot to remove General Flynn...DEEPSTATE",CatRN4U,https://twitter.com/CatRN4U/status/1329406414507401218,1,0,0,0
2020-11-19 12:10:00+00:00,1329396503786496002,"CIA/Democrats did the same to America as was done to install our puppets and overthrow Venezuela... General McInerney confirmed by using #HammerandScorecard software in #DominionVoting machines connected to servers outside US but controlled by them 
SIMPLY EVIL AS THAT https://t.co/VQE9O7BWnT",alcardfan,https://twitter.com/alcardfan/status/1329396503786496002,6,0,20,2
2020-11-19 10:18:44+00:00,1329368505590964224,"@senatemajldr HERE IS EVIDENCE,  GO TO VIDEO LINK: RETIRED GENERAL INTELLIGENCE THAT THIS IS A #COUP REIGGED CIA #DeepState commie #DemonRats #Treason #DNCCorruption #FakeBallots #Dominion https://t.co/tUk4ZpnUqY #HammerAndScorecard #Spygate #smartmatic #FakeNews #propaganda collusion OP",DanielWMerrick,https://twitter.com/DanielWMerrick/status/1329368505590964224,0,0,0,0
2020-11-19 10:17:56+00:00,1329368304339849217,"@GeorgePapa19 HERE IS EVIDENCE,  GO TO VIDEO LINK: RETIRED GENERAL INTELLIGENCE THAT THIS IS A #COUP REIGGED CIA #DeepState commie #DemonRats #Treason #DNCCorruption #FakeBallots #Dominion https://t.co/tUk4ZpnUqY #HammerAndScorecard #Spygate #smartmatic #FakeNews #propaganda collusion OP",DanielWMerrick,https://twitter.com/DanielWMerrick/status/1329368304339849217,0,0,0,0
2020-11-19 10:17:33+00:00,1329368204502839296,"@realDonaldTrump HERE IS EVIDENCE,  GO TO VIDEO LINK: RETIRED GENERAL INTELLIGENCE THAT THIS IS A #COUP REIGGED CIA #DeepState commie #DemonRats #Treason #DNCCorruption #FakeBallots #Dominion https://t.co/tUk4ZpnUqY #HammerAndScorecard #Spygate #smartmatic #FakeNews #propaganda collusion OP",DanielWMerrick,https://twitter.com/DanielWMerrick/status/1329368204502839296,0,0,0,0
2020-11-19 10:16:51+00:00,1329368028916625409,"@dbongino HERE IS EVIDENCE,  GO TO VIDEO LINK: RETIRED GENERAL INTELLIGENCE THAT THIS IS A #COUP REIGGED CIA #DeepState commie #DemonRats #Treason #DNCCorruption #FakeBallots #Dominion https://t.co/tUk4ZpnUqY #HammerAndScorecard #Spygate #smartmatic #FakeNews #propaganda collusion OP",DanielWMerrick,https://twitter.com/DanielWMerrick/status/1329368028916625409,0,0,0,0
2020-11-19 10:16:32+00:00,1329367949812043776,"@realDonaldTrump EVIDENCE,  GO TO VIDEO LINK: RETIRED GENERAL INTELLIGENCE THAT THIS IS A #COUP REIGGED CIA OP #DeepState commie #DemonRats #Treason #DNCCorruption #FakeBallots #Dominion https://t.co/tUk4ZpnUqY #HammerAndScorecard #Spygate #smartmatic #FakeNews #propaganda",DanielWMerrick,https://twitter.com/DanielWMerrick/status/1329367949812043776,0,0,0,0
